cohort,category,touched_vol_musd,single_counted_musd
Fast-taker,other,523.48,261.74
Fast-taker,sports,382.41,191.2
Fast-taker,crypto,150.8,75.4
Fast-taker,politics,116.89,58.45
Fast-taker,geopolitics,56.41,28.2
Fast-taker,weather,14.37,7.19
Fast-taker,finance,9.59,4.8
Fast-taker,culture,5.69,2.85
Fast-taker,tech,1.1,0.55
Hybrid-bot,other,460.34,230.17
Hybrid-bot,sports,391.42,195.71
Hybrid-bot,crypto,100.86,50.43
Hybrid-bot,politics,96.04,48.02
Hybrid-bot,geopolitics,17.13,8.57
Hybrid-bot,finance,11.07,5.53
Hybrid-bot,culture,9.66,4.83
Hybrid-bot,weather,8.5,4.25
Hybrid-bot,tech,1.33,0.66
Mid-MM,politics,141.29,70.65
Mid-MM,other,113.75,56.87
Mid-MM,sports,95.8,47.9
Mid-MM,geopolitics,42.48,21.24
Mid-MM,crypto,33.75,16.87
Mid-MM,finance,10.93,5.46
Mid-MM,weather,7.63,3.81
Mid-MM,culture,7.47,3.74
Mid-MM,tech,1.07,0.53
Pro-MM,other,715.51,357.75
Pro-MM,sports,595.55,297.78
Pro-MM,politics,243.24,121.62
Pro-MM,crypto,184.09,92.05
Pro-MM,geopolitics,103.85,51.92
Pro-MM,weather,26.5,13.25
Pro-MM,finance,17.34,8.67
Pro-MM,culture,16.02,8.01
Pro-MM,tech,2.31,1.16
Retail,politics,128.11,64.06
Retail,other,55.97,27.99
Retail,sports,48.51,24.26
Retail,geopolitics,41.49,20.75
Retail,crypto,28.94,14.47
Retail,finance,7.98,3.99
Retail,culture,7.12,3.56
Retail,weather,3.73,1.87
Retail,tech,1.23,0.62
Systematic-mixed,other,92.77,46.39
Systematic-mixed,sports,90.05,45.02
Systematic-mixed,politics,77.52,38.76
Systematic-mixed,crypto,20.78,10.39
Systematic-mixed,geopolitics,16.92,8.46
Systematic-mixed,finance,9.75,4.87
Systematic-mixed,culture,7.16,3.58
Systematic-mixed,weather,5.22,2.61
Systematic-mixed,tech,0.93,0.46
Systematic-taker,other,237.35,118.67
Systematic-taker,sports,209.11,104.55
Systematic-taker,politics,181.09,90.54
Systematic-taker,crypto,60.97,30.48
Systematic-taker,geopolitics,48.43,24.21
Systematic-taker,finance,15.7,7.85
Systematic-taker,weather,14.67,7.33
Systematic-taker,culture,13.02,6.51
Systematic-taker,tech,1.75,0.88
