cohort,category,n_wallets,touched_vol_musd,single_counted_musd,n_fills,avg_trade_size_usd
highMkr_fast,other,3485,720.22,360.11,46806046,15.39
highMkr_fast,sports,1227,623.82,311.91,6862295,90.9
highMkr_fast,politics,869,245.56,122.78,2254972,108.9
highMkr_fast,crypto,2871,188.06,94.03,26754712,7.03
highMkr_fast,geopolitics,498,104.26,52.13,251510,414.53
highMkr_fast,weather,587,26.74,13.37,1826284,14.64
highMkr_fast,finance,578,17.41,8.71,369707,47.09
highMkr_fast,culture,587,16.42,8.21,416524,39.42
highMkr_fast,tech,406,2.36,1.18,144562,16.34
highMkr_med,politics,27101,171.09,85.54,757908,225.74
highMkr_med,other,33708,123.61,61.81,2248206,54.98
highMkr_med,sports,24242,102.56,51.28,1176177,87.2
highMkr_med,geopolitics,7355,50.41,25.2,91398,551.52
highMkr_med,crypto,24685,44.97,22.48,996098,45.14
highMkr_med,finance,10933,13.55,6.77,145677,92.99
highMkr_med,culture,10232,9.03,4.52,125448,72.02
highMkr_med,weather,4478,8.12,4.06,307093,26.45
highMkr_med,tech,4790,1.43,0.72,37830,37.86
lowMkr_fast,other,12306,522.04,261.02,37035970,14.1
lowMkr_fast,sports,4915,385.92,192.96,4772102,80.87
lowMkr_fast,crypto,9924,154.31,77.15,21048988,7.33
lowMkr_fast,politics,3329,117.79,58.89,1370494,85.94
lowMkr_fast,geopolitics,1172,56.18,28.09,101406,554.02
lowMkr_fast,weather,1525,14.36,7.18,1450722,9.9
lowMkr_fast,finance,1394,9.5,4.75,199254,47.7
lowMkr_fast,culture,1399,5.74,2.87,250097,22.96
lowMkr_fast,tech,741,1.12,0.56,103461,10.78
lowMkr_med,other,200847,276.07,138.03,10857054,25.43
lowMkr_med,politics,167082,264.74,132.37,2409613,109.87
lowMkr_med,sports,163305,251.43,125.72,4436505,56.67
lowMkr_med,geopolitics,33291,77.95,38.97,268262,290.57
lowMkr_med,crypto,148510,75.79,37.89,5453980,13.9
lowMkr_med,finance,52287,19.75,9.87,392962,50.26
lowMkr_med,weather,27835,18.15,9.08,1056379,17.18
lowMkr_med,culture,52698,17.87,8.93,420449,42.5
lowMkr_med,tech,20482,2.45,1.23,101883,24.07
midMkr_fast,other,3479,455.53,227.76,20353197,22.38
midMkr_fast,sports,1414,377.67,188.84,4651346,81.2
midMkr_fast,crypto,2758,102.92,51.46,11490366,8.96
midMkr_fast,politics,895,96.21,48.1,1750520,54.96
midMkr_fast,geopolitics,422,17.42,8.71,123660,140.89
midMkr_fast,finance,521,11.04,5.52,285699,38.64
midMkr_fast,culture,488,9.31,4.66,432221,21.54
midMkr_fast,weather,520,8.48,4.24,1131401,7.5
midMkr_fast,tech,311,1.34,0.67,181374,7.39
midMkr_med,other,38494,101.7,50.85,2711017,37.51
midMkr_med,politics,36455,98.85,49.43,1267237,78.01
midMkr_med,sports,17101,95.73,47.86,1105039,86.63
midMkr_med,crypto,18457,26.16,13.08,1092122,23.96
midMkr_med,geopolitics,17919,22.28,11.14,230468,96.66
midMkr_med,finance,7814,11.53,5.76,154175,74.77
midMkr_med,culture,7268,8.37,4.19,143421,58.39
midMkr_med,weather,3923,5.57,2.79,421489,13.23
midMkr_med,tech,3120,1.2,0.6,37206,32.29
