cohort,category,maker_vol_musd,taker_vol_musd,touched_vol_musd
Fast-taker,other,44.68,478.79,523.48
Fast-taker,sports,34.06,348.33,382.39
Fast-taker,crypto,10.19,140.57,150.76
Fast-taker,politics,7.97,108.92,116.89
Fast-taker,geopolitics,1.22,55.18,56.41
Fast-taker,weather,0.99,13.38,14.37
Fast-taker,finance,1.15,8.45,9.59
Fast-taker,culture,0.5,5.2,5.69
Fast-taker,tech,0.15,0.95,1.1
Hybrid-bot,other,232.98,227.36,460.34
Hybrid-bot,sports,197.87,193.55,391.42
Hybrid-bot,crypto,53.59,47.29,100.88
Hybrid-bot,politics,48.35,47.69,96.04
Hybrid-bot,geopolitics,8.18,8.95,17.13
Hybrid-bot,finance,5.4,5.67,11.07
Hybrid-bot,culture,5.03,4.64,9.66
Hybrid-bot,weather,4.7,3.81,8.5
Hybrid-bot,tech,0.6,0.72,1.33
Mid-MM,politics,127.7,13.6,141.29
Mid-MM,other,100.99,12.75,113.75
Mid-MM,sports,81.9,13.9,95.8
Mid-MM,geopolitics,38.3,4.18,42.48
Mid-MM,crypto,30.19,3.56,33.75
Mid-MM,finance,9.46,1.46,10.93
Mid-MM,weather,6.79,0.84,7.63
Mid-MM,culture,6.43,1.04,7.47
Mid-MM,tech,0.92,0.15,1.07
Pro-MM,other,644.79,70.72,715.51
Pro-MM,sports,525.88,69.64,595.52
Pro-MM,politics,224.49,18.74,243.23
Pro-MM,crypto,170.39,13.68,184.07
Pro-MM,geopolitics,95.96,7.88,103.84
Pro-MM,weather,23.84,2.66,26.5
Pro-MM,finance,15.53,1.82,17.34
Pro-MM,culture,14.16,1.85,16.01
Pro-MM,tech,2.11,0.2,2.31
Retail,politics,36.3,91.81,128.11
Retail,other,14.01,41.96,55.97
Retail,sports,8.67,39.84,48.51
Retail,geopolitics,10.21,31.28,41.49
Retail,crypto,12.58,16.36,28.94
Retail,finance,3.33,4.65,7.98
Retail,culture,1.98,5.13,7.12
Retail,weather,0.46,3.27,3.73
Retail,tech,0.47,0.76,1.23
Systematic-mixed,other,47.06,45.72,92.77
Systematic-mixed,sports,45.71,44.34,90.04
Systematic-mixed,politics,39.47,38.05,77.52
Systematic-mixed,crypto,10.36,10.42,20.78
Systematic-mixed,geopolitics,7.97,8.95,16.92
Systematic-mixed,finance,5.01,4.73,9.75
Systematic-mixed,culture,4.17,2.98,7.16
Systematic-mixed,weather,2.83,2.4,5.22
Systematic-mixed,tech,0.45,0.48,0.93
Systematic-taker,other,15.07,222.28,237.35
Systematic-taker,sports,12.31,196.79,209.1
Systematic-taker,politics,7.81,173.28,181.09
Systematic-taker,crypto,2.78,58.18,60.96
Systematic-taker,geopolitics,1.5,46.93,48.43
Systematic-taker,finance,1.3,14.4,15.7
Systematic-taker,weather,0.71,13.96,14.67
Systematic-taker,culture,0.8,12.22,13.02
Systematic-taker,tech,0.15,1.6,1.75
