cohort,category,touched_vol_musd,single_counted_musd
Fast-taker,sports,1701.66,850.83
Fast-taker,crypto,1611.12,805.56
Fast-taker,politics,367.63,183.82
Fast-taker,weather,30.55,15.28
Fast-taker,geopolitics,30.02,15.01
Fast-taker,culture,23.47,11.73
Fast-taker,finance,23.36,11.68
Fast-taker,other,6.75,3.37
Fast-taker,tech,4.28,2.14
Hybrid-bot,sports,2526.31,1263.15
Hybrid-bot,crypto,1634.19,817.09
Hybrid-bot,politics,541.27,270.63
Hybrid-bot,geopolitics,53.5,26.75
Hybrid-bot,culture,42.36,21.18
Hybrid-bot,finance,37.33,18.66
Hybrid-bot,weather,24.05,12.02
Hybrid-bot,tech,9.76,4.88
Hybrid-bot,other,7.38,3.69
Mid-MM,politics,465.86,232.93
Mid-MM,sports,290.26,145.13
Mid-MM,crypto,248.4,124.2
Mid-MM,geopolitics,48.07,24.04
Mid-MM,culture,37.85,18.93
Mid-MM,finance,26.03,13.01
Mid-MM,weather,12.56,6.28
Mid-MM,other,6.63,3.32
Mid-MM,tech,4.49,2.24
Pro-MM,sports,2826.95,1413.47
Pro-MM,crypto,2073.57,1036.79
Pro-MM,politics,1188.44,594.22
Pro-MM,geopolitics,108.54,54.27
Pro-MM,culture,99.55,49.78
Pro-MM,weather,61.41,30.7
Pro-MM,finance,58.09,29.05
Pro-MM,other,25.44,12.72
Pro-MM,tech,12.12,6.06
Retail,politics,527.04,263.52
Retail,sports,515.04,257.52
Retail,crypto,461.28,230.64
Retail,culture,65.23,32.62
Retail,finance,54.82,27.41
Retail,geopolitics,44,22
Retail,weather,19.57,9.78
Retail,tech,14.3,7.15
Retail,other,11.75,5.87
Systematic-mixed,sports,624.85,312.43
Systematic-mixed,politics,510.99,255.49
Systematic-mixed,crypto,226.74,113.37
Systematic-mixed,culture,59.88,29.94
Systematic-mixed,geopolitics,53.08,26.54
Systematic-mixed,finance,47.25,23.63
Systematic-mixed,weather,13.47,6.73
Systematic-mixed,tech,13.34,6.67
Systematic-mixed,other,8.92,4.46
Systematic-taker,sports,1016.51,508.25
Systematic-taker,politics,838.1,419.05
Systematic-taker,crypto,549.17,274.59
Systematic-taker,geopolitics,92.81,46.4
Systematic-taker,culture,62.64,31.32
Systematic-taker,finance,44.31,22.16
Systematic-taker,weather,29.91,14.96
Systematic-taker,other,14.4,7.2
Systematic-taker,tech,8.76,4.38
