wallet,lp_rewards_usd,lp_rewards_confirmed_1k
0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,2425450,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,1273645,True
0x96bde0dd1d5ba5cc8e1c74cdec14041564a1363a,544828,True
0x1cfc260bfa2b5ae89377863180ca3b4f5c862111,382443,True
0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,370242,True
0x7789806c754eb0af4c3abeb026c218b4ba78f823,353593,True
0xcfdd6663018840621fa812ba6043acb5b1fa29d1,296191,True
0x273be9d2238debc6c97b4a3ffc57f4d14aeda35d,289509,True
0x4cc3522b689a6bf1fb4a2444c523e7776db47552,256479,True
0x6e5fa2f2b3268c32966d0683a0a6fbd87f080855,223275,True
0x21ffd2b7a212a6f277ed3eca1a9f8efcbca90d71,215464,True
0x96b59f71f635da5da031e3e93448c54fe226f5e7,213264,True
0x2d507657ca4ebcc8f9a38f6764c07310b66dea54,200000,True
0x8b41013f5f0e23f5444d4a7927da0e567f50cdd7,189275,True
0xd42f6a1634a3707e27cbae14ca966068e5d1047d,175575,True
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,163697,True
0x30e443872ddf63b2908a49f92cd690c304a55102,153805,True
0x6356fb47642a028bc09df92023c35a21a0b41885,152575,True
0xecdbd79566a25693b9971c48d7de84bc05f7da79,126233,True
0xa2f1fecf1cc7db65a46588f764b6691533052d22,112926,True
0x8e8d8163c34d90ce063c7438637a0e5c3ffa5a27,107090,True
0x8591e0477bc629f029c244344cdb0b4722f550c5,106135,True
0x8e5a5d37a354f4e05badd0d9e91b519774e44ef5,103461,True
0x777629be8bf9bb234adfcd028356e0a2a362f49b,102291,True
0x964237866e2b7efc02dc399e27302f6fbbfbd079,98531,True
