primary_tag,vol_musd,n_fills
<<NULL_TAGS>>,2195.33,92622949
Trump,3.18,65416
Elections,0.54,9173
amazon,0.16,1255
Mexico,0.16,5495
Esports,0.14,6585
Elon Musk,0.13,6270
video games,0.11,3958
GDP,0.07,5822
Canada,0.07,3551
jobs,0.06,3846
sam altman,0.05,1622
Parlays,0.05,246
Primaries,0.05,2394
unemployment,0.05,1219
Israel,0.05,2670
Apple,0.05,2079
Commodities,0.03,1186
google,0.03,892
Basketball,0.02,329
real estate,0.02,2185
North Korea,0.02,1832
eu,0.02,550
Argentina,0.02,1860
South Korea,0.01,796
Boxing,0.01,412
Taylor Swift,0.01,957
Australia,0.01,924
Tesla,0.01,446
Airdrops,0.01,515
