tags,n_markets
"Sports, Tennis, Games",56269
"Sports, Basketball, NBA, Games",49998
"Sports, Esports, Games, Dota 2",42811
"Sports, Esports, Games, counter strike 2",41102
"Sports, Esports, league of legends, Games",40103
"Sports, Basketball, NCAA, Games, NCAA Basketball",30041
"Crypto, Bitcoin, Crypto Prices, Recurring, Up or Down, Hide From New, 5M",24994
"Crypto, Ethereum, Crypto Prices, Recurring, Up or Down, Hide From New, 5M",23037
"Crypto, Crypto Prices, XRP, Ripple, Recurring, Up or Down, Hide From New, 5M",23037
"Crypto, Solana, Crypto Prices, Recurring, Up or Down, Hide From New, 5M",23037
"Crypto, Bitcoin, Crypto Prices, Recurring, Up or Down, Hide From New, 15M",22896
"Crypto, Ethereum, Crypto Prices, Recurring, Up or Down, Hide From New, 15M",22896
"Crypto, Crypto Prices, XRP, Ripple, Recurring, Up or Down, Hide From New, 15M",18615
"Crypto, Solana, Crypto Prices, Recurring, Up or Down, Hide From New, 15M",18598
"Crypto, Crypto Prices, Recurring, Up or Down, Hide From New, hype, 5M",16412
"Crypto, Crypto Prices, Recurring, Up or Down, Hide From New, BNB, 5M",16412
"Crypto, Crypto Prices, Dogecoin, Recurring, Up or Down, Hide From New, 5M",15463
"Sports, Soccer, Games",15400
"Crypto, Ethereum, Crypto Prices, Recurring, Hide From New, 1H, Multi Strikes",11371
"Crypto, Bitcoin, Crypto Prices, Recurring, Hide From New, 1H, Multi Strikes",11362
"Sports, NFL, Games",10673
"Sports, Esports, Games, Valorant",8519
"Crypto, Bitcoin, Crypto Prices, Recurring, Up or Down, Hide From New, 1H",7974
"Crypto, Ethereum, Crypto Prices, Recurring, Up or Down, Hide From New, 1H",7957
"Crypto, Solana, Crypto Prices, Recurring, Up or Down, Hide From New, 1H",7783
"Crypto, Crypto Prices, XRP, Ripple, Recurring, Up or Down, Hide From New, 1H",7622
"Sports, NBA, Games",7235
"Sports, baseball, MLB, Games",7068
"Sports, MLS, Soccer, Games",6538
"Sports, La Liga, Soccer, Games",6283
