rank,wallet,cohort,touched_vol_musd,equivalent_single_counted_musd,maker_share,n_fills,n_unique_markets,fills_per_day,lp_rewards_usd,lp_rewards_observed,lp_rewards_confirmed_1k
1,0xba325e7069ad57592e81b6069c59181af38d7afc,highMkr_fast,70.91,35.45,0.994,3083,19,181,37,True,False
2,0x204f72f35326db932158cba6adff0b9a1da95e14,midMkr_fast,59.93,29.97,0.313,780111,23004,26004,45469,True,True
3,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,highMkr_fast,57.15,28.58,0.82,594044,13815,19801,163697,True,True
4,0x96bde0dd1d5ba5cc8e1c74cdec14041564a1363a,highMkr_fast,54.51,27.26,0.913,160904,4272,5363,544828,True,True
5,0xfe787d2da716d60e8acff57fb87eb13cd4d10319,highMkr_fast,53.03,26.52,0.745,245059,7963,8169,78305,True,True
6,0x9495425feeb0c250accb89275c97587011b19a27,highMkr_fast,42.02,21.01,0.819,82543,3435,2751,8023,True,True
7,0x84cfffc3f16dcc353094de30d4a45226eccd2f63,lowMkr_fast,37.66,18.83,0.053,337313,3297,11244,12,True,False
8,0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,highMkr_fast,37.15,18.57,0.821,29742,527,1487,370242,True,True
9,0xca3f617b9bbbca069bbfc99ffc8a5db7bef85325,midMkr_fast,31.05,15.52,0.481,51260,436,1768,4279,True,True
10,0x16e3a7afe4dd8a9948672f60b9aaf66934964ac1,highMkr_fast,26.9,13.45,0.922,40834,1454,1361,2869,True,True
11,0xb239159f41cd8f79d0e71be753d6988c6b501ee6,highMkr_fast,25.1,12.55,0.99,1287,10,215,2,True,False
12,0xbddf61af533ff524d27154e589d2d7a81510c684,midMkr_fast,24.07,12.03,0.698,169875,250,5663,7158,True,True
13,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,midMkr_fast,23.93,11.96,0.488,2466964,21338,85068,0,False,False
14,0xf19357951760265f79be628c42ea5389c7034f8e,lowMkr_fast,23.64,11.82,0.019,1821389,37686,60713,21,True,False
15,0x7270ae1504a064896753a6baf91c06d742ce29d1,highMkr_fast,22.78,11.39,0.931,150857,4185,5029,80034,True,True
16,0x5268527977f700f9bf9b6d5cd843859e4e70135d,midMkr_fast,20.91,10.45,0.687,130107,4164,5004,6889,True,True
17,0x5e717d49744bef6dcd1b7764d07c2934a1e4ba82,lowMkr_fast,20.2,10.1,0.004,1627,13,271,453,True,False
18,0xfd1a88d04219cbdb06f7cfb427bc4d93fe47b2c3,highMkr_fast,19.59,9.79,0.968,3862,25,184,0,False,False
19,0x91eee6b7cea1916214daebec3b92b7513079c5b8,lowMkr_fast,19.27,9.64,0.07,10369,33,691,0,False,False
20,0xf6ae6df55d8108b2f22a13e14cfbdcdf62630439,highMkr_fast,19.19,9.6,0.829,13949,190,465,90129,True,True
21,0x07b0e21ff4a623c20a9042ab89c9641dedfcf528,highMkr_fast,18.95,9.48,0.921,9424,186,314,4820,True,True
22,0xbf06752230ab84148abeebc3f7879a823d7bb424,highMkr_fast,18.2,9.1,0.894,193364,6306,6445,17921,True,True
23,0x6480542954b70a674a74bd1a6015dec362dc8dc5,lowMkr_fast,17.85,8.92,0.003,23062,58,769,917,True,False
24,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,highMkr_fast,17.34,8.67,0.72,14841,295,1142,13,True,False
25,0x0346afae2603313d2bbee96b628536c8cbe352a5,highMkr_fast,17.21,8.61,0.78,226498,6442,9437,747,True,False
26,0xfbf3d501e88815464642d0e913f15379c3eeb218,midMkr_fast,16.66,8.33,0.557,14661,321,506,779,True,False
27,0x4f29e103339919c4baaea2a60195cf1c8bb27a7e,highMkr_fast,16.16,8.08,0.922,112171,1170,5341,0,False,False
28,0x6d8b413ffcc0b79ff47b94bfb880c1643d55a4ab,lowMkr_fast,16.14,8.07,0.021,5164,14,516,0,False,False
29,0x4662492a083f518d87c91044227d97ef1d90bdf6,lowMkr_fast,15.65,7.82,0,163,1,163,0,False,False
30,0x543c52538ec4a126332ed104c72b51f05426ff62,lowMkr_fast,15.6,7.8,0.019,71959,773,2399,32,True,False
31,0xbee54d90051720e27921dc6874f02d646ffca636,lowMkr_fast,15.58,7.79,0.122,10162,38,635,0,False,False
32,0x801bd666f35b9e9e69090fc21a4628a12fef86f1,lowMkr_med,14.26,7.13,0,171,2,86,0,False,False
33,0x56536a8f9bcd0c69708c17a749418b4bd490cd49,lowMkr_fast,13.13,6.56,0.204,1314327,21011,50551,0,False,False
34,0xdce4edefa453f84007bc5eb82dd2541264f813e7,lowMkr_fast,13.02,6.51,0.107,6793,25,566,9,True,False
35,0x222aee8497e27b9cb805de925d9d441734cb67c8,midMkr_fast,12.59,6.29,0.402,1348038,9920,44935,791,True,False
36,0x41eae8772ced519dac872865c07a8d4a03f07d16,midMkr_fast,12.57,6.29,0.612,112492,1015,3750,0,False,False
37,0x03798c711ecf09d84c418f76fe94ff7fbc04ce5f,lowMkr_fast,12.48,6.24,0.193,10407,124,385,42,True,False
38,0x558ee6a05f51e7e8d89fc07b154e78a865202ee7,lowMkr_fast,12.32,6.16,0.003,3095,18,163,0,False,False
39,0x613bff13e2fd9489359899db604940d83b808ceb,highMkr_fast,12.12,6.06,0.982,28035,1363,935,23,True,False
