cohort,rank,wallet,touched_vol_musd,maker_share,n_fills,n_unique_markets,fills_per_day,lp_rewards_usd,lp_rewards_observed,lp_rewards_confirmed_1k,complete_set_arber,large_ticket_whale,confidence
Fast-taker,1,0x84cfffc3f16dcc353094de30d4a45226eccd2f63,37.44,0.053,336594,3288,11220,12,True,False,True,False,Medium
Fast-taker,2,0xf19357951760265f79be628c42ea5389c7034f8e,23.62,0.019,1819556,37644,60652,21,True,False,False,False,Medium
Fast-taker,3,0x5e717d49744bef6dcd1b7764d07c2934a1e4ba82,20.2,0.004,1627,13,271,453,True,False,False,True,Medium
Fast-taker,4,0x91eee6b7cea1916214daebec3b92b7513079c5b8,19.27,0.07,10369,33,691,0,False,False,False,True,Medium
Fast-taker,5,0x6480542954b70a674a74bd1a6015dec362dc8dc5,17.85,0.003,23041,58,768,917,True,False,False,True,Medium
Fast-taker,6,0x6d8b413ffcc0b79ff47b94bfb880c1643d55a4ab,16.14,0.021,5164,14,516,0,False,False,False,True,Medium
Fast-taker,7,0x4662492a083f518d87c91044227d97ef1d90bdf6,15.65,0,163,1,163,0,False,False,False,True,Medium
Fast-taker,8,0xbee54d90051720e27921dc6874f02d646ffca636,15.58,0.122,10162,38,635,0,False,False,False,True,Medium
Fast-taker,9,0x543c52538ec4a126332ed104c72b51f05426ff62,15.52,0.019,71743,773,2391,32,True,False,False,False,Medium
Fast-taker,10,0x56536a8f9bcd0c69708c17a749418b4bd490cd49,13.13,0.204,1314327,21011,50551,0,False,False,False,False,Medium
Fast-taker,11,0xdce4edefa453f84007bc5eb82dd2541264f813e7,13.02,0.107,6793,25,566,9,True,False,False,True,Medium
Fast-taker,12,0x558ee6a05f51e7e8d89fc07b154e78a865202ee7,12.32,0.003,3094,18,163,0,False,False,False,True,Medium
Fast-taker,13,0x03798c711ecf09d84c418f76fe94ff7fbc04ce5f,12.23,0.196,10299,122,396,42,True,False,False,True,Medium
Fast-taker,14,0x492442eab586f242b53bda933fd5de859c8a3782,9.86,0.016,2912,85,116,3,True,False,False,True,Medium
Fast-taker,15,0xde9f7f4e77a1595623ceb58e469f776257ccd43c,9.3,0.223,115615,1336,3854,520,True,False,False,False,Medium
Fast-taker,16,0xabb89972b21b304c1bed2bf26f35c8741ac9bba3,9.11,0.206,10963,298,365,143,True,False,False,True,Medium
Fast-taker,17,0x1887879a1bda615e88f280b582514c7d54e2678a,8.63,0.051,2923,7,731,0,False,False,False,True,Medium
Fast-taker,18,0x5b6331e7ff0831a3fe2ed12004747db1a9c911a4,7.46,0,232958,22107,7765,66,True,False,False,False,Medium
Fast-taker,19,0x29658768bfb8d8b1412cde1a009c43235ffc9a26,7.42,0.001,90782,329,3026,0,False,False,False,False,Medium
