expiry_bucket_order,expiry_bucket,fills,single_counted_musd,share_pct,cumulative_share_pct
1,0-5m,60760330,388.109,12.02,12.02
2,5-15m,15185308,92.318,2.86,14.89
3,15m-1h,2482622,100.367,3.11,18.0
4,1-6h,14621587,1135.811,35.19,53.19
5,6-12h,4299359,342.532,10.61,63.8
6,12-24h,3970387,201.824,6.25,70.05
7,1-3d,4075118,306.098,9.48,79.54
8,3-7d,1794554,123.623,3.83,83.37
9,7-30d,2768247,181.449,5.62,88.99
10,30d+,5060430,173.287,5.37,94.36
98,past_end_metadata,485992,178.915,5.54,99.9
99,unknown_expiry,69118,3.196,0.1,100.0
